time,MVRV,PriceUSD,RealizedPrice
2023-09-26,1.291644411828,26194.5378880772,20279.991651111915
2023-09-27,1.298711354638,26336.0825973115,20278.62658107918
2023-09-28,1.332826815107,27033.4254415546,20282.774277304994
2023-09-29,1.326653306014,26911.2514739918,20285.067207835993
2023-09-30,1.329742814001,26977.6933126826,20287.903065639213
2023-10-01,1.377331393995,27950.1453594389,20292.970508984392
2023-10-02,1.35843524556,27565.8892954413,20292.383744856063
2023-10-03,1.351957092666,27439.1422393337,20295.867663392273
2023-10-04,1.369035570095,27797.251176505,20304.257817476646
2023-10-05,1.350981968888,27426.3450926359,20301.04451742658
2023-10-06,1.37581058469,27941.9633760959,20309.45515831442
2023-10-07,1.376921632645,27972.7515704266,20315.427477664285
2023-10-08,1.375035048808,27936.3261157218,20316.810207812112
2023-10-09,1.357643501831,27591.3467618352,20322.96897132704
2023-10-10,1.349224905545,27419.7971803039,20322.628990626337
2023-10-11,1.320267435058,26828.1725710111,20320.256228869664
2023-10-12,1.316151935393,26741.3405990649,20317.821886634993
2023-10-13,1.321220609655,26842.4467703098,20316.40028482371
2023-10-14,1.321559699731,26861.9892375804,20325.974863676674
2023-10-15,1.334644980263,27130.3067092344,20327.732925566623
2023-10-16,1.401484702482,28506.7936741671,20340.424425384143
2023-10-17,1.397569787083,28433.2051522501,20344.748015478875
2023-10-18,1.392147247637,28328.0750195792,20348.476116777623
2023-10-19,1.410163206398,28690.358041204,20345.416694347165
2023-10-20,1.458847579295,29704.9853673291,20361.952673413816
2023-10-21,1.469157536053,29922.5464044418,20367.1462522875
2023-10-22,1.471860430263,29984.1593196961,20371.605013077475
2023-10-23,1.613500605985,32954.1690482174,20424.020248879762
2023-10-24,1.654397557736,33880.9566537113,20479.331884457388
2023-10-25,1.681601781377,34488.6589210988,20509.409125897422
2023-10-26,1.663662918099,34181.4922521917,20545.924225593433
2023-10-27,1.648793504518,33896.938528346,20558.631772542834
2023-10-28,1.65738945553,34091.5890327294,20569.4496963163
2023-10-29,1.679987904494,34574.3377206312,20580.11109969553
2023-10-30,1.674700476949,34495.1050207481,20597.77583845436
2023-10-31,1.679986208289,34636.4264736996,20617.08977300203
2023-11-01,1.715331297044,35431.9794532437,20656.056071677234
2023-11-02,1.687432786238,34882.9173366452,20672.181802520234
2023-11-03,1.677473281454,34708.2218804792,20690.774788612318
2023-11-04,1.695198047921,35091.0763062537,20700.281214510356
2023-11-05,1.69531363252,35105.0420265926,20707.107731099106
2023-11-06,1.690062847822,35017.7151484512,20719.77097986555
2023-11-07,1.707693280842,35418.4768901227,20740.53771099876
2023-11-08,1.724477503,35797.8946090006,20758.69041302338
2023-11-09,1.762200964364,36675.3264333723,20812.226967886647
2023-11-10,1.792853668717,37367.4943722969,20842.467527780882
2023-11-11,1.773581111946,36979.9312405026,20850.43136252599
2023-11-12,1.776498366314,37053.3410514319,20857.514847206246
2023-11-13,1.751221714879,36543.2680870836,20867.29954099989
2023-11-14,1.705402061503,35590.6835645821,20869.379935670662
2023-11-15,1.810152914492,37840.5534894798,20904.617055570325
2023-11-16,1.729237075753,36160.4044509059,20911.189655796486
2023-11-17,1.747806543208,36569.7120534775,20923.203540796832
2023-11-18,1.74769689693,36577.4249617183,20928.929396149935
2023-11-19,1.78814575059,37442.7285119813,20939.416431589565
2023-11-20,1.789732455017,37516.0503708358,20961.820447335773
2023-11-21,1.717720966087,36035.0330862069,20978.397421727565
2023-11-22,1.780655097435,37403.0347168323,21005.210257006347
2023-11-23,1.775570834214,37311.7192156634,21013.92887103845
2023-11-24,1.793664605571,37718.7841630625,21028.894725307353
2023-11-25,1.796938311512,37800.1260932203,21035.85073068763
2023-11-26,1.781247130023,37482.7055260082,21042.95630529617
2023-11-27,1.768699884325,37229.2452197545,21048.932919426592
2023-11-28,1.795694998493,37828.4655911748,21066.197557447984
2023-11-29,1.794443185541,37846.8531227352,21091.140375851406
2023-11-30,1.787790724759,37712.7114789597,21094.589515807842
2023-12-01,1.831958430263,38703.5536820573,21126.873319118346
2023-12-02,1.866562636124,39462.2799272355,21141.685343697154
2023-12-03,1.88957149278,39978.2226104617,21157.295589617737
2023-12-04,1.974157660867,41910.2994815897,21229.4591826996
2023-12-05,2.070210110876,44067.0054763296,21286.247828092604
2023-12-06,2.049004981703,43745.8343907072,21349.794061675977
2023-12-07,2.024192806038,43282.6182261835,21382.65588983175
2023-12-08,2.063554127808,44205.0522089421,21421.804067673616
2023-12-09,2.040603828859,43740.0063927528,21434.83501018909
2023-12-10,2.039126541822,43732.7120900059,21446.78674572587
2023-12-11,1.920421604102,41209.8947904734,21458.77483488496
2023-12-12,1.928403638971,41467.2735698422,21503.420099315525
2023-12-13,1.994507456072,42939.0607583285,21528.65391784148
2023-12-14,1.997076014934,43033.1371560491,21548.071697947496
2023-12-15,1.945584187067,41978.0970195792,21576.08871341716
2023-12-16,1.954587603816,42203.2140450029,21591.87644626841
2023-12-17,1.918432937883,41428.6657855056,21595.055509848746
2023-12-18,1.970997560336,42635.7331911163,21631.55046414573
2023-12-19,1.952266717846,42271.863025716,21652.70894560756
2023-12-20,2.010355157868,43605.1555549386,21690.27466827417
2023-12-21,2.02055347695,43870.2382340736,21711.990667178565
2023-12-22,2.024349186253,44009.5016551724,21740.07426882338
2023-12-23,2.012046953684,43768.8067518995,21753.37244081709
2023-12-24,1.978993772604,43097.8093258329,21777.63766741112
2023-12-25,2.002168071468,43623.7504029807,21788.255953455267
2023-12-26,1.947666354666,42491.1229079486,21816.4280582006
2023-12-27,1.98454282113,43436.9594269433,21887.64029904392
2023-12-28,1.948191066046,42670.6797180012,21902.71809664159
2023-12-29,1.915289168243,41998.6033442431,21928.074381985214
2023-12-30,1.923525954915,42204.4917744009,21941.212525133775
2023-12-31,1.923147103068,42217.1587913501,21952.12145966421
2024-01-01,2.005011405976,44049.4735534775,21969.687265711633
2024-01-02,2.041843744783,44941.160493571,22010.08799444014
2024-01-03,1.941607815328,42773.6515423729,22030.016157071892
2024-01-04,1.991280476371,44250.7452670953,22222.256378337956
2024-01-05,1.983754393826,44146.3222022209,22253.925354679308
2024-01-06,1.972626827535,43917.9798147282,22263.70401218168
2024-01-07,1.968589392178,43844.195949737,22271.88469263711
2024-01-08,2.105199604079,46981.3242995324,22316.80274331335
2024-01-09,2.061111820714,46084.005795149,22358.80913010572
2024-01-10,2.090437479903,46818.1592764465,22396.345131842423
2024-01-11,2.06755309096,46380.8708082992,22432.73510658136
2024-01-12,1.910157143573,42817.4305356517,22415.658669611104
2024-01-13,1.911017344621,42846.9544699006,22421.018098293694
2024-01-14,1.868072683047,41888.1513068381,22423.191392379144
2024-01-15,1.895817002527,42528.9192489772,22433.02976621105
2024-01-16,1.915131498731,43171.4472241379,22542.288742440956
2024-01-17,1.892920670298,42689.304327294,22552.083136465237
2024-01-18,1.826405496575,41261.9076177674,22591.86565915649
2024-01-19,1.840326498572,41606.8535330216,22608.408652109505
2024-01-20,1.842828285649,41668.6904102864,22611.271345670542
2024-01-21,1.836787376079,41537.1123562244,22614.001433793554
2024-01-22,1.750703117876,39577.0998603156,22606.40279679835
2024-01-23,1.75685238167,39737.3143617767,22618.470838172445
